Place Name,Category,Rating,Address,About
Qalawun Complex,Historic Sites,4.5,"El-Gamaleya, Qism El-Gamaleya, Cairo 11511 Egypt","Constructed in 1285 AD, Qalawun complex is  one of the fine examples of Mamluk architectecture, which is also regarded as a major structure in the very heart of Old Cairo on city's famous and historic Al-Muizz street. As a complex, Qalawun complex has a mosque, a religious school, a hospital and moseleum of Mamluk Sultan Qalawun, who commissioned this complex."
Cairo Opera House,Theaters,4.0,"Opera Square, Zamalek, Cairo 11511 Egypt","This cultural venue, The National Cultural Centre ""Cairo Opera House"" is part of the Ministry of Culture and serves as an umbrella organization for all the music or dance companies, galleries, museums and the educational programs of the Cairo Opera House. It was established in 1988 with the inauguration of the new Cairo Opera House. Its goal is to promote the arts of music and dance and to preserve and renew traditional Arab music. In order to be more than just a place where music and art are performed the National Cultural Centre wants to give space to learning and inspiration, to the exchange of ideas, the respect of a common cultural heritage, and a shared passion for the arts. It encourages interest for music and art in the younger generation by offering ballet, voice or instrumental classes for talented children or youths. Performances of ballet, operatic or symphonic works are staged with Egyptian companies or in cooperation with foreign ensembles or soloists. Seminars and cultural conferences covering a wide range of artistic and intellectual issues are held regularly. Opera House companies are frequently sent on tours to different Egyptian governorates to give the people in urban areas the chance to see national and international art performances. In March 1985, Former President Mubarak laid the first corner stone of the new Cairo Opera House which was to be built with the support of JICA, the Japan International Cooperation Agency. Careful planning by the Ministry of Culture in Cairo and the JICA produced a design suggestive of traditional Islamic architecture and blending in harmoniously with the surrounding buildings. In October 1988,Former President Mubarak and His Highness, Prince Tomohito of Mikasa, the younger brother of the Japanese Emperor, inaugurated the National Cultural Centre “Cairo Opera House” in a remarkable ceremony. It was the first time for Japan to stage a Kabuki show, a traditional popular drama with singing and dancing, in Africa or the Arab World."
City of the Dead (Northern Cemetery),Cemeteries,4.0,"East of Sharia Salah Salem, Cairo 11511 Egypt","Many magnificent funerary complexes are located here including the Mosque of Qaitbey (completed in 1474 AD), the Complex of Sultan Ashraf Barsbey and the Mausoleum of Ibn Barquq."
Midan Hussein,Points of Interest & Landmarks,4.0,Imam Hussein Square,"Square in front of Imam Husseins masjid which only opens for prayers and females werent allowed inside because of corona.Cafe shops ,khanel khalil bazaar close by."
Al-Hakim Mosque,Religious Sites,4.0,"154 Al Moez Ldin Allah Al Fatmi, El-Gamaleya, El Gamaliya, Cairo Governorate 4331215","Al-Hakim mosque, Cairo, Egypt 🇪🇬 Completed over a thousand years ago in 1013 under the command of 6th Fatmid caliph, ""Al-Hakim bi Amr Allah"", Al Hakim mosque with its massive rectangular courtyard, it's impressive inner prayer hall, Mihrab(place for Imam), kufic(old Arabic) inscriptions on its inner walls and minerets in their original form from Fatmid era, is one of many historic mosques on city's famous Al-Muizz street."
Nilometer,Dams,4.5,"Roda Island, Cairo 11511 Egypt","It’s an interesting place and concept. The place is small so you’ll spend around 15 minutes inside it. At the entrance, we requested and paid for 3 tickets (EL 60, 20 per adult as foreigners); however, the person in charge gave us only 2 tickets and said it’s ok!! He insisted to come with us to explain and we gave him a tip for that. On our way out, he said that he wants the tickets back. It turned out that he sells the same tickets for more than one person and steals the money of his own employer. A very shameful behavior which makes you sad for Egypt."
Church of St. Barbara,Religious Sites,4.0,"Near the Roman Fortress, Cairo 11511 Egypt","Considered one of Egypt’s largest and most magnificent churches, this religious site features a domed asp with seven steps decorated in bands of black, white and red marble."
Mosque of Syeda Zainab,Religious Sites,4.5,"Syeda Zainab, Cairo 11511 Egypt",This is a historical place and very sacred for muslims. There is a different kind of spiritual feel to this place but the cleanliness and chaos around the area disappointed me as a tourist. The management and people really need to work toward keeping the place clean.
Fort of Babylon,Historic Sites,4.0,"Coptic Cairo, Cairo 11511 Egypt","First built by the Persians in the sixth century B.C., this fortress contains several Christian churches built into or on its walls including the El-Muallaqa (the Hanging Church) and the Greek Church of St. George."
Iridium Spa,Health Clubs,5.0,"1189 Nile Corniche The St. Regis Cairo, Cairo 11221 Egypt","Iridium Spa represents one of the essences of The St. Regis brand. It is a sanctuary for the extraordinary and one of a kind when it comes to bespoke services and living exquisitely. It brings creativity, curation and high culture all in one place—conveying serenity for those who seek peace and relaxation."
Pyramids Camel Ride,Safaris,5.0,"44 st Nazlat Al Samman Street, Cairo 12557 Egypt",We are a creative luxury desert camps & camel ride company
Liberation Square (Midan El-Tahreer),Points of Interest & Landmarks,3.5,"In Front of the Egyptian Museum, Cairo 11511 Egypt","Not worth going out of your way, but there is a decent military statue and some lovely local markets in and around the square."
Kempinski The Spa,Spas,5.0,"12 Ahmed Ragheb Street Cornish El-Nile,, Cairo 11519 Egypt","Kempinski The Spa is a place to unwind and relax whilst staying in the heart of the city, combining Egyptian and European elegance, is an oasis of well-being and serenity for the mind, body and soul. Beautifully positioned within Cairo’s exquisite Kempinski Nile Hotel, Garden City. Kempinski The Spa’s features five individual treatment rooms, one of which is the Spa Suite and can be used for coup"
Le Quell Elite,Spas,5.0,"1 Al Adel Abou Bakr St Four Seasons, First Mall - Giza, Cairo 11211 Egypt","Signature services. Serene settings. Refined relaxation! At our exclusive spa, clients at Le Quell Elite can experience an array of revitalizing treatments in surroundings that indulge mind, body and spirit. Gift yourself the ultimate luxury– time for yourself away from the complexities of life, to indulge in our elegantly crafted treatments. Bespoke and discreet, all Le Quell Elite Spa treatments are designed to be individually personalized, and tailored to every clients’ needs. N.B. Our treatments provided to ladies only."
Tell Basta,Historic Sites,4.5," El-Shohada, Shobak Bastah, Zagazig 1, Al-Sharqia Governorate 44513","
Bubastis, also known in Arabic as Tell-Basta or in Egyptian as Per-Bast, was an ancient Egyptian city. Bubastis is often identified with the biblical Pi-Beseth"
Ahmed Orabi Museum,History Museums,3.0,"Harayah Raznah, Zagazig, Al-Sharqia Governorate 7143235","The Orabi Museum is located in Hariyat Razanah in Sharkia Governorate. This museum tells about fighting Egyptians under the occupation and this first group that includes many historical paintings, statues and documents closely related to the leader Ahmed Orabi."
Saft el-Hinna,Historic Sites,4.5,Saft Al Henna Kefourha Abu Hammad Al-Sharqia Governorate,"Saft el-Hinna is a village and an archaeological site in Egypt. It is located in the modern Al Sharqia Governorate, in the Nile Delta, about 7 km southeast of Zagazig."
